S.no,City,Number of Beds,Number of Homes,Province,Population,NoB required (raw),NoB req,Discrepancy
1,airdrie,74,2,Alberta,61581,1966.638007,1967,1893
2,athabasca,100,2,Alberta,2965,94.68962328,95,-5
3,banff,47,1,Alberta,7847,250.6001598,251,204
4,barrhead,176,5,Alberta,4579,146.2339916,147,-29
5,bashaw,30,2,Alberta,873,27.87994642,28,-2
6,bassano,12,1,Alberta,1206,38.51456515,39,27
7,beaumont,46,1,Alberta,17396,555.5550376,556,510
8,beaverlodge,18,1,Alberta,2465,78.72172728,79,61
9,bentley,16,1,Alberta,1078,34.42678378,35,19
10,black diamond,45,1,Alberta,2700,86.2266384,87,42
11,blackfoot,6,1,Alberta,269,8.590728048,9,3
12,bonnyville,133,4,Alberta,5975,190.8163572,191,58
13,bow island,50,2,Alberta,1983,63.32867554,64,14
14,boyle,20,1,Alberta,916,29.25318547,30,10
15,breton,23,1,Alberta,496,15.84015283,16,-7
16,brooks,161,3,Alberta,14451,461.5041302,462,301
17,calgary,8058,91,Alberta,1239220,39575.47216,39576,31518
18,camrose,458,9,Alberta,18742,598.5406137,599,141
19,canmore,23,2,Alberta,13992,446.8456017,447,424
20,cardston,146,3,Alberta,3585,114.4898143,115,-31
21,castor,27,1,Alberta,932,29.76415814,30,3
22,claresholm,100,4,Alberta,3780,120.7172938,121,21
23,coaldale,89,2,Alberta,8215,262.3525313,263,174
24,cochrane,78,2,Alberta,25853,825.6360306,826,748
25,cold lake,97,2,Alberta,14961,477.7913841,478,381
26,consort,20,1,Alberta,689,22.00376069,23,3
27,coronation,52,1,Alberta,947,30.24319502,31,-21
28,daysland,42,2,Alberta,807,25.77218414,26,-16
29,desmarais,10,1,Alberta,138,4.407139296,5,-5
30,devon,24,1,Alberta,6578,210.0736398,211,187
31,didsbury,167,3,Alberta,5268,168.2377523,169,2
32,drayton valley,114,4,Alberta,7235,231.0554551,232,118
33,drumheller,174,4,Alberta,7982,254.9114917,255,81
34,eckville,15,1,Alberta,1125,35.927766,36,21
35,edmonton,10293,92,Alberta,1062643,33936.34582,33937,23644
36,edson,108,2,Alberta,8414,268.7077539,269,161
37,elk point,52,2,Alberta,1452,46.37076998,47,-5
38,evansburg,40,1,Alberta,880,28.10349696,29,-11
39,fairview,92,1,Alberta,162,5.173598304,6,-86
40,fort macleod,68,3,Alberta,2967,94.75349486,95,27
41,fort saskatchewan,121,2,Alberta,24149,771.217441,772,651
42,fort vermilion,34,1,Alberta,727,23.21732078,24,-10
43,fox creek,4,1,Alberta,1971,62.94544603,63,59
44,galahad,20,1,Alberta,119,3.800359248,4,-16
45,grande cache,27,2,Alberta,3571,114.0427132,115,88
46,grande prairie,575,7,Alberta,63166,2017.256237,2018,1443
47,grimshaw,76,2,Alberta,2718,86.80148266,87,11
48,hanna,78,1,Alberta,2559,81.72369173,82,4
49,hardisty,20,1,Alberta,639,20.40697109,21,1
50,high level,45,2,Alberta,3159,100.8851669,101,56
51,high prairie,78,3,Alberta,2564,81.88337069,82,4
52,high river,185,3,Alberta,13584,433.8157985,434,249
53,hinton,75,3,Alberta,9882,315.5894965,316,241
54,hythe,31,1,Alberta,820,26.18734944,27,-4
55,innisfail,208,2,Alberta,7847,250.6001598,251,43
56,islay,20,1,Alberta,208,6.642644736,7,-13
57,jasper,27,2,Alberta,4590,146.5852853,147,120
58,killam,50,1,Alberta,981,31.32901195,32,-18
59,la crete,77,3,Alberta,523,16.70241922,17,-60
60,lac la biche,64,1,Alberta,2520,80.47819584,81,17
61,lacombe,221,2,Alberta,13057,416.9856361,417,196
62,lamont,120,1,Alberta,1774,56.65409501,57,-63
63,leduc,329,4,Alberta,29993,957.8502095,958,629
64,lethbridge,1425,17,Alberta,92729,2961.374056,2962,1537
65,linden,37,1,Alberta,725,23.1534492,24,-13
66,lloydminster,170,3,Alberta,31410,1003.103227,1004,834
67,magrath,35,2,Alberta,2374,75.81557021,76,41
