S.no,City,Number of Beds,Number of Homes,Province,Population,NoB required (raw),NoB req,Discrepancy
1,abbotsford,59,11,British Columbia,141397,5891.378542,5892,5833
2,burnaby,201,12,British Columbia,232755,9697.856478,9698,9497
3,castlegar,4,1,British Columbia,8039,334.949059,335,331
4,chilliwack,11,2,British Columbia,83788,3491.070003,3492,3481
5,comox,3,2,British Columbia,14828,617.8162268,618,615
6,coquitlam,39,4,British Columbia,139284,5803.339313,5804,5765
7,cranbrook,3,1,British Columbia,19259,802.4361149,803,800
8,dawson creek,5,2,British Columbia,12978,540.7350277,541,536
9,delta,29,6,British Columbia,102238,4259.798718,4260,4231
10,duncan,1,1,British Columbia,44451,1852.073718,1853,1852
11,fort st. john,3,3,British Columbia,20155,839.7684145,840,837
12,hazelton,1,1,British Columbia,300,12.4996539,13,12
13,kamloops,19,7,British Columbia,100046,4168.467914,4169,4150
14,kelowna,63,9,British Columbia,142146,5922.586011,5923,5860
15,langley,92,7,British Columbia,117285,4886.739692,4887,4795
16,lumby,1,1,British Columbia,3500,145.8292955,146,145
17,maple ridge,13,3,British Columbia,82256,3427.238437,3428,3415
18,merritt,4,2,British Columbia,7139,297.4500973,298,294
19,mission,10,3,British Columbia,38833,1617.996866,1618,1608
20,nanaimo,4,2,British Columbia,90504,3770.895589,3771,3767
21,nelson,2,1,British Columbia,10664,444.3210306,445,443
22,north vancouver,32,3,British Columbia,85935,3580.52586,3581,3549
23,oliver,26,2,British Columbia,4928,205.3276481,206,180
24,penticton,14,4,British Columbia,33761,1406.669384,1407,1393
25,port coquitlam,11,3,British Columbia,58612,2442.099048,2443,2432
26,port moody,6,1,British Columbia,33551,1397.919627,1398,1392
27,prince george,33,3,British Columbia,74003,3083.372959,3084,3051
28,prince rupert,17,1,British Columbia,12220,509.1525689,510,493
29,qualicum beach,1,1,British Columbia,8943,372.6146828,373,372
30,richmond,26,3,British Columbia,198309,8262.646218,8263,8237
31,richmond hill,1,1,British Columbia,195022,8125.691676,8126,8125
32,saanich,5,1,British Columbia,114148,4756.034978,4757,4752
33,salmon arm,8,3,British Columbia,17706,737.7295732,738,730
34,sidney,2,1,British Columbia,11672,486.3198677,487,485
35,smithers,1,1,British Columbia,5351,222.9521601,223,222
36,surrey,107,20,British Columbia,517887,21578.02753,21579,21472
37,vancouver,197,22,British Columbia,2264823,94365.01215,94366,94169
38,vernon,28,5,British Columbia,44600,1858.28188,1859,1831
39,victoria,11,5,British Columbia,335696,13986.94605,13987,13976
40,west kelowna,14,3,British Columbia,30902,1287.547683,1288,1274
41,west vancouver,28,2,British Columbia,42473,1769.659334,1770,1742
42,white rock,29,3,British Columbia,82368,3431.904975,3432,3403
43,williams lake,4,2,British Columbia,10753,448.0292613,449,445
