S.no,City,Number of Beds,Number of Homes,Province,Population,NoB required (raw),NoB req,Discrepancy
1,amherst,133,5,Nova Scotia,9550,280.5509803,281,148
2,annapolis royal,54,1,Nova Scotia,481,14.13036875,15,-39
3,antigonish,137,2,Nova Scotia,5002,146.9440841,147,10
4,argyle,48,1,Nova Scotia,7899,232.0494443,233,185
5,baddeck,59,1,Nova Scotia,769,22.59096375,23,-36
6,barrington,62,1,Nova Scotia,6646,195.2399806,196,134
7,bedford,130,1,Nova Scotia,2684,78.84804514,79,-51
8,berwick,142,2,Nova Scotia,2509,73.70705859,74,-68
9,bridgetown,106,1,Nova Scotia,1014,29.78834492,30,-76
10,bridgewater,100,2,Nova Scotia,8532,250.6451271,251,151
11,brookfield,36,1,Nova Scotia,529,15.54046791,16,-20
12,canso,15,1,Nova Scotia,806,23.6779152,24,9
13,chester,90,1,Nova Scotia,10310,302.8775505,303,213
14,enfield,59,2,Nova Scotia,33,0.969443178,1,-58
15,greenwich,50,1,Nova Scotia,1058,31.08093583,32,-18
16,guysborough,51,1,Nova Scotia,403,11.8389576,12,-39
17,halifax,1220,10,Nova Scotia,403131,11842.80599,11843,10623
18,inverness,71,1,Nova Scotia,17235,506.3137325,507,436
19,kentville,181,3,Nova Scotia,12088,355.1099738,356,175
20,lockeport,36,1,Nova Scotia,588,17.27371481,18,-18
21,lunenburg,144,1,Nova Scotia,2263,66.48030036,67,-77
22,mahone bay,61,1,Nova Scotia,1036,30.43464038,31,-30
23,middleton,50,1,Nova Scotia,1832,53.81878491,54,4
24,millbrook,27,1,Nova Scotia,847,24.8823749,25,-2
25,new germany,39,1,Nova Scotia,447,13.1315485,14,-25
26,new glasgow,202,3,Nova Scotia,20609,605.4319532,606,404
27,parrsboro,14,1,Nova Scotia,1205,35.39936453,36,22
28,pictou,83,2,Nova Scotia,3186,93.59533228,94,11
29,port hawkesbury,60,1,Nova Scotia,3214,94.41789012,95,35
30,pugwash,74,1,Nova Scotia,744,21.8565371,22,-52
31,sackville,37,1,Nova Scotia,5331,156.6091388,157,120
32,sandy point,66,1,Nova Scotia,346,10.16446484,11,-55
33,shelburne,66,1,Nova Scotia,8126,238.7180383,239,173
34,sherbrooke,39,1,Nova Scotia,161323,4739.196418,4740,4701
35,springhill,66,1,Nova Scotia,3868,113.6304913,114,48
36,stellarton,113,1,Nova Scotia,4208,123.6186937,124,11
37,tatamagouche,61,2,Nova Scotia,752,22.09155363,23,-38
38,trenton,36,1,Nova Scotia,2474,72.67886128,73,37
39,truro,256,3,Nova Scotia,12826,376.7902485,377,121
40,wilmot,2,1,Nova Scotia,20545,603.551821,604,602
41,windsor,251,4,Nova Scotia,276165,8112.917432,8113,7862
42,wolfville,67,2,Nova Scotia,4195,123.2367919,124,57
43,yarmouth,105,1,Nova Scotia,6518,191.4797162,192,87
