S.no,City,NoB,NoH,Province,Population,NoB required (raw),NoB req,Discrepancy
1,ajax,210,2,Ontario,119677,15426.38804,15427,15217
2,akwesasne,50,1,Ontario,1202,154.9380284,155,105
3,alexandria,70,1,Ontario,52,6.70280988,7,-63
4,amherstburg,128,1,Ontario,21936,2827.554568,2828,2700
5,arnprior,60,1,Ontario,8795,1133.677171,1134,1074
6,arthur,80,1,Ontario,413,53.23577847,54,-26
7,athens,60,1,Ontario,3013,388.3762725,389,329
8,atikokan,22,1,Ontario,2753,354.8622231,355,333
9,aurora,319,2,Ontario,55445,7146.871035,7147,6828
10,aylmer,164,2,Ontario,7492,965.7202235,966,802
11,bancroft,110,1,Ontario,3881,500.2616374,501,391
12,barrie,1088,9,Ontario,172657,22255.5201,22256,21168
13,belleville,469,3,Ontario,50716,6537.302036,6538,6069
14,blind river,32,2,Ontario,3472,447.5414597,448,416
15,bracebridge,160,1,Ontario,16010,2063.692042,2064,1904
16,brampton,1601,11,Ontario,593638,76520.05099,76521,74920
17,brantford,663,5,Ontario,97496,12567.25292,12568,11905
18,brighton,49,1,Ontario,11844,1526.69385,1527,1478
19,brockville,331,2,Ontario,21854,2816.984752,2817,2486
20,burlington,1287,10,Ontario,183314,23629.20943,23630,22343
21,cambridge,841,8,Ontario,129920,16746.71268,16747,15906
22,carleton place,60,1,Ontario,11901,1534.041161,1535,1475
23,chapleau,18,1,Ontario,1964,253.1599732,254,236
24,chatham,557,3,Ontario,101647,13102.31761,13103,12546
25,chatsworth,34,1,Ontario,6630,854.6082597,855,821
26,clinton,120,1,Ontario,636,81.98052084,82,-38
27,cobourg,279,3,Ontario,19440,2505.819694,2506,2227
28,cochrane,37,1,Ontario,25853,3332.456612,3333,3296
29,collingwood,270,3,Ontario,21793,2809.121841,2810,2540
30,cornwall,518,5,Ontario,46589,6005.330952,6006,5488
31,deep river,31,2,Ontario,4109,529.6508807,530,499
32,deseronto,60,1,Ontario,1774,228.6689371,229,169
33,dryden,97,1,Ontario,7749,998.8475723,999,902
34,dundas,630,3,Ontario,3914,504.5153437,505,-125
35,durham,100,1,Ontario,1076,138.6966044,139,39
36,elliot lake,64,1,Ontario,10741,1384.516941,1385,1321
37,emo,12,1,Ontario,1333,171.8239533,172,160
38,englehart,48,1,Ontario,1479,190.643381,191,143
39,espanola,62,2,Ontario,4996,643.9853492,644,582
40,essex,104,1,Ontario,20427,2633.044181,2634,2530
41,fort erie,244,3,Ontario,30710,3958.524835,3959,3715
42,fort frances,154,1,Ontario,7739,997.5585704,998,844
43,gananoque,104,1,Ontario,5159,664.9960802,665,561
44,georgetown,196,2,Ontario,169,21.78413211,22,-174
45,gloucester,240,1,Ontario,79943,10304.66789,10305,10065
46,goderich,91,1,Ontario,7628,983.2506493,984,893
