,City,Number of Beds,Number of Homes,Province,Population
1,altona,65,1,Manitoba,4212
2,arborg,40,1,Manitoba,1222
3,ashern,20,1,Manitoba,609
4,baldur,20,1,Manitoba,337
5,beausejour,80,1,Manitoba,3126
6,benito,20,1,Manitoba,377
7,birtle,20,1,Manitoba,664
8,boissevain,62,2,Manitoba,2353
9,brandon,597,5,Manitoba,48859
10,carberry,36,1,Manitoba,1738
11,carman,180,1,Manitoba,3027
12,dauphin,160,2,Manitoba,8457
13,deloraine,46,2,Manitoba,977
14,elkhorn,24,1,Manitoba,471
15,emerson,20,1,Manitoba,661
16,erickson,16,1,Manitoba,487
17,eriksdale,20,1,Manitoba,846
18,fisher branch,30,1,Manitoba,460
19,flin flon,66,2,Manitoba,5185
20,gilbert plains,30,1,Manitoba,2011
21,gillam,3,1,Manitoba,1265
22,gimli,80,1,Manitoba,6181
23,gladstone,50,1,Manitoba,879
24,glenboro,20,1,Manitoba,645
25,grandview,39,1,Manitoba,859
26,grunthal,40,1,Manitoba,1680
27,hamiota,30,1,Manitoba,2011
28,hartney,20,1,Manitoba,415
29,killarney,120,2,Manitoba,505
30,lac du bonnet,30,1,Manitoba,3121
31,lundar,20,1,Manitoba,496
32,lynn lake,8,1,Manitoba,674
33,macgregor,20,1,Manitoba,963
34,manitou,18,1,Manitoba,818
35,mccreary,20,1,Manitoba,2011
36,melita,20,1,Manitoba,1042
37,minnedosa,50,1,Manitoba,2449
38,morden,60,1,Manitoba,8668
39,morris,40,1,Manitoba,3047
40,neepawa,100,1,Manitoba,4609
41,nelson house,24,1,Manitoba,75
42,niverville,80,1,Manitoba,4083
43,norway house,26,1,Manitoba,461
44,notre dame de lourdes,60,1,Manitoba,683
45,pilot mound,54,2,Manitoba,635
46,portage la prairie,196,2,Manitoba,13304
47,reston,20,1,Manitoba,550
48,rivers,20,1,Manitoba,1189
49,roblin,60,1,Manitoba,932
50,rossburn,20,1,Manitoba,2011
51,russell,40,1,Manitoba,16520
52,sandy lake,36,1,Manitoba,261
53,selkirk,271,3,Manitoba,10278
54,shoal lake,40,1,Manitoba,714
55,snow lake,3,1,Manitoba,723
56,souris,42,1,Manitoba,1053
57,st. claude,18,1,Manitoba,590
58,ste. anne,65,1,Manitoba,5003
59,ste. rose du lac,65,1,Manitoba,1023
60,steinbach,204,2,Manitoba,15829
61,stonewall,50,1,Manitoba,4809
62,swan river,115,2,Manitoba,4014
63,teulon,20,1,Manitoba,1201
64,the pas,60,1,Manitoba,5689
65,thompson,35,1,Manitoba,13678
66,treherne,22,1,Manitoba,616
67,virden,96,2,Manitoba,3114
68,vita,44,1,Manitoba,415
69,wawanesa,20,1,Manitoba,562
70,whitemouth,26,1,Manitoba,317
71,winkler,145,1,Manitoba,12660
72,winnipeg,5640,39,Manitoba,705244
73,alcida,6,2,New Brunswick,218
74,atholville,39,1,New Brunswick,3570
75,avondale,9,1,New Brunswick,636
76,baker brook,19,1,New Brunswick,287
77,balmoral,50,2,New Brunswick,1674
78,bas-caraquet,64,2,New Brunswick,1380
79,bathurst,420,15,New Brunswick,18154
80,beresford,59,3,New Brunswick,6248
81,berwick,10,1,New Brunswick,2509
82,blackville,18,2,New Brunswick,2215
83,bloomfield,12,1,New Brunswick,534
84,bouctouche,146,8,New Brunswick,2423
85,burton,11,1,New Brunswick,5119
86,campbellton,220,13,New Brunswick,10411
87,caraquet,48,1,New Brunswick,4248
88,clair,24,1,New Brunswick,297
89,cocagne,50,2,New Brunswick,2649
90,dalhousie,90,3,New Brunswick,3126
91,dieppe,417,9,New Brunswick,107068
92,douglas,10,1,New Brunswick,6154
93,drummond,5,1,New Brunswick,2250
94,dundee,8,1,New Brunswick,408
95,edmundston,429,11,New Brunswick,16580
96,eel river crossing,8,1,New Brunswick,1953
97,fredericton,268,15,New Brunswick,58220
98,gagetown,19,1,New Brunswick,316
99,hampstead,3,1,New Brunswick,7153
100,hampton,38,3,New Brunswick,4289
101,hanwell,26,2,New Brunswick,4750
102,hartland,15,2,New Brunswick,947
103,hillsborough,52,2,New Brunswick,1308
104,inkerman,50,2,New Brunswick,714
105,kedgwick,8,1,New Brunswick,1979
106,kingston,6,1,New Brunswick,2913
107,lac baker,3,1,New Brunswick,719
108,lameque,48,1,New Brunswick,1285
109,landry office,20,1,New Brunswick,398
110,lansdowne,8,1,New Brunswick,723
111,laplante,20,2,New Brunswick,312
112,maisonnette,8,1,New Brunswick,573
113,mcleods,8,1,New Brunswick,381
114,memramcook,28,1,New Brunswick,4778
115,minto,37,2,New Brunswick,8671
116,miramichi,128,11,New Brunswick,17537
117,moncton,780,27,New Brunswick,108620
118,neguac,66,4,New Brunswick,1684
119,norton,10,1,New Brunswick,1382
120,oak bay,14,1,New Brunswick,18094
121,oromocto,24,1,New Brunswick,9223
122,paquetville,8,1,New Brunswick,2329
123,pennfield,30,2,New Brunswick,2218
124,perth-andover,24,1,New Brunswick,1778
125,petitcodiac,22,1,New Brunswick,1383
126,petit-rocher,50,2,New Brunswick,1908
127,pointe-verte,8,1,New Brunswick,976
128,port elgin,10,1,New Brunswick,418
129,quispamsis,60,1,New Brunswick,18245
130,richibucto,29,2,New Brunswick,1887
131,riverview,85,4,New Brunswick,19667
132,rivière à la truite,17,1,New Brunswick,395
133,robertville,30,1,New Brunswick,895
134,rogersville,30,2,New Brunswick,1166
135,sackville,33,2,New Brunswick,5331
136,saint john,414,34,New Brunswick,67575
137,saint-andre,15,3,New Brunswick,1129
138,saint-antoine,55,1,New Brunswick,1733
139,saint-basile,31,3,New Brunswick,2463
140,saint-jacques,8,1,New Brunswick,4021
141,saint-quentin,13,2,New Brunswick,2194
142,salisbury,62,3,New Brunswick,3388
143,shediac,196,4,New Brunswick,6664
144,shippagan,69,3,New Brunswick,4800
145,st. george,8,1,New Brunswick,1517
146,st. stephen,16,2,New Brunswick,4817
147,sussex,2,1,New Brunswick,4282
148,tracadie,61,2,New Brunswick,16114
149,tracadie-sheila,148,6,New Brunswick,4933
150,tremblay,10,1,New Brunswick,460
151,waterville,10,1,New Brunswick,2028
152,wickham,13,1,New Brunswick,2470
153,woodstock,26,2,New Brunswick,40902
154,amherst,133,5,Nova Scotia,9550
155,annapolis royal,54,1,Nova Scotia,481
156,antigonish,137,2,Nova Scotia,5002
157,argyle,48,1,Nova Scotia,7899
158,baddeck,59,1,Nova Scotia,769
159,barrington,62,1,Nova Scotia,6646
160,bedford,130,1,Nova Scotia,2684
161,berwick,142,2,Nova Scotia,2509
162,bridgetown,0,1,Nova Scotia,1014
163,bridgewater,100,2,Nova Scotia,8532
164,brookfield,36,1,Nova Scotia,529
165,canso,15,1,Nova Scotia,806
166,chester,90,1,Nova Scotia,10310
167,enfield,59,2,Nova Scotia,33
168,greenwich,50,1,Nova Scotia,1058
169,guysborough,51,1,Nova Scotia,403
170,halifax,1220,10,Nova Scotia,403131
171,inverness,71,1,Nova Scotia,17235
172,kentville,181,3,Nova Scotia,12088
173,lockeport,36,1,Nova Scotia,588
174,lunenburg,144,1,Nova Scotia,2263
175,mahone bay,61,1,Nova Scotia,1036
176,middleton,50,1,Nova Scotia,1832
177,millbrook 27,0,1,Nova Scotia,847
178,new germany,39,1,Nova Scotia,447
179,new glasgow,202,3,Nova Scotia,20609
180,parrsboro,14,1,Nova Scotia,1205
181,pictou,83,2,Nova Scotia,3186
182,port hawkesbury,60,1,Nova Scotia,3214
183,pugwash,74,1,Nova Scotia,744
184,sackville,37,1,Nova Scotia,5331
185,sandy point,66,1,Nova Scotia,346
186,shelburne,0,1,Nova Scotia,8126
187,sherbrooke,39,1,Nova Scotia,161323
188,springhill,66,1,Nova Scotia,3868
189,stellarton,113,1,Nova Scotia,4208
190,tatamagouche,61,2,Nova Scotia,752
191,trenton,36,1,Nova Scotia,2474
192,truro,256,3,Nova Scotia,12826
193,wilmot,0,1,Nova Scotia,20545
194,windsor,251,4,Nova Scotia,276165
195,wolfville,67,2,Nova Scotia,4195
196,yarmouth,105,1,Nova Scotia,6518
197,ajax,210,2,Ontario,119677
198,akwesasne,50,1,Ontario,1202
199,alexandria,70,1,Ontario,52
200,amherstburg,128,1,Ontario,21936
201,arnprior,60,1,Ontario,8795
202,arthur,80,1,Ontario,413
203,athens,60,1,Ontario,3013
204,atikokan,22,1,Ontario,2753
205,aurora,319,2,Ontario,55445
206,aylmer,164,2,Ontario,7492
207,bancroft,110,1,Ontario,3881
208,barrie,1088,9,Ontario,172657
209,belleville,469,3,Ontario,50716
210,blind river,32,2,Ontario,3472
211,bracebridge,160,1,Ontario,16010
212,brampton,1601,11,Ontario,593638
213,brantford,663,5,Ontario,97496
214,brighton,49,1,Ontario,11844
215,brockville,331,2,Ontario,21854
216,burlington,1287,10,Ontario,183314
217,cambridge,841,8,Ontario,129920
218,carleton place,60,1,Ontario,11901
219,chapleau,18,1,Ontario,1964
220,chatham,557,3,Ontario,101647
221,chatsworth,34,1,Ontario,6630
222,clinton,120,1,Ontario,636
223,cobourg,279,3,Ontario,19440
224,cochrane,37,1,Ontario,25853
225,collingwood,270,3,Ontario,21793
226,cornwall,518,5,Ontario,46589
227,deep river,31,2,Ontario,4109
228,deseronto,60,1,Ontario,1774
229,dryden,97,1,Ontario,7749
