S.no,City,Number of Beds,Number of Homes,Province,Population,NoB required (raw),NoB req,Discrepancy
1,altona,65,1,Manitoba,4212,43.09584037,44,-21
2,arborg,40,1,Manitoba,1222,12.50311418,13,-27
3,ashern,20,1,Manitoba,609,6.231093729,7,-13
4,baldur,20,1,Manitoba,337,3.448076497,4,-16
5,beausejour,80,1,Manitoba,3126,31.98423481,32,-48
6,benito,20,1,Manitoba,377,3.857343737,4,-16
7,birtle,20,1,Manitoba,664,6.793836184,7,-13
8,boissevain,62,2,Manitoba,2353,24.07514539,25,-37
9,brandon,597,5,Manitoba,48859,499.909702,500,-97
10,carberry,36,1,Manitoba,1738,17.78266158,18,-18
11,carman,180,1,Manitoba,3027,30.97129839,31,-149
12,dauphin,160,2,Manitoba,8457,86.52932622,87,-73
13,deloraine,46,2,Manitoba,977,9.996352337,10,-36
14,elkhorn,24,1,Manitoba,471,4.819121751,5,-19
15,emerson,20,1,Manitoba,661,6.763141141,7,-13
16,erickson,16,1,Manitoba,487,4.982828647,5,-11
17,eriksdale,20,1,Manitoba,846,8.656002126,9,-11
18,fisher branch,30,1,Manitoba,460,4.70657326,5,-25
19,flin flon,66,2,Manitoba,5185,53.05126599,54,-12
20,gilbert plains,30,1,Manitoba,2011,20.57591049,21,-9
21,gillam,3,1,Manitoba,1265,12.94307647,13,10
22,gimli,80,1,Manitoba,6181,63.24202026,64,-16
23,gladstone,50,1,Manitoba,879,8.993647599,9,-41
24,glenboro,20,1,Manitoba,645,6.599434245,7,-13
25,grandview,39,1,Manitoba,859,8.789013979,9,-30
26,grunthal,40,1,Manitoba,1680,17.18922408,18,-22
27,hamiota,30,1,Manitoba,2011,20.57591049,21,-9
28,hartney,20,1,Manitoba,415,4.246147615,5,-15
29,killarney,120,2,Manitoba,505,5.166998905,6,-114
30,lac du bonnet,30,1,Manitoba,3121,31.9330764,32,2
31,lundar,20,1,Manitoba,496,5.074913776,6,-14
32,lynn lake,8,1,Manitoba,674,6.896152994,7,-1
33,macgregor,20,1,Manitoba,963,9.853108803,10,-10
34,manitou,18,1,Manitoba,818,8.369515058,9,-9
35,mccreary,20,1,Manitoba,2011,20.57591049,21,1
36,melita,20,1,Manitoba,1042,10.6614116,11,-9
37,minnedosa,50,1,Manitoba,2449,25.05738677,26,-24
38,morden,60,1,Manitoba,8668,88.68821091,89,29
39,morris,40,1,Manitoba,3047,31.17593201,32,-8
40,neepawa,100,1,Manitoba,4609,47.15781773,48,-52
41,nelson house,24,1,Manitoba,75,0.767376075,1,-23
42,niverville,80,1,Manitoba,4083,41.77595352,42,-38
43,norway house,26,1,Manitoba,461,4.716804941,5,-21
44,notre dame de lourdes,60,1,Manitoba,683,6.988238123,7,-53
45,pilot mound,54,2,Manitoba,635,6.497117435,7,-47
46,portage la prairie,196,2,Manitoba,13304,136.122284,137,-59
47,reston,20,1,Manitoba,550,5.62742455,6,-14
48,rivers,20,1,Manitoba,1189,12.16546871,13,-7
49,roblin,60,1,Manitoba,932,9.535926692,10,-50
50,rossburn,20,1,Manitoba,2011,20.57591049,21,1
51,russell,40,1,Manitoba,16520,169.0273701,170,130
52,sandy lake,36,1,Manitoba,261,2.670468741,3,-33
53,selkirk,271,3,Manitoba,10278,105.1612173,106,-165
54,shoal lake,40,1,Manitoba,714,7.305420234,8,-32
55,snow lake,3,1,Manitoba,723,7.397505363,8,5
56,souris,42,1,Manitoba,1053,10.77396009,11,-31
57,st. claude,18,1,Manitoba,590,6.03669179,7,-11
58,ste. anne,65,1,Manitoba,5003,51.18910004,52,-13
59,ste. rose du lac,65,1,Manitoba,1023,10.46700966,11,-54
60,steinbach,204,2,Manitoba,15829,161.9572785,162,-42
61,stonewall,50,1,Manitoba,4809,49.20415393,50,0
62,swan river,115,2,Manitoba,4014,41.06996753,42,-73
63,teulon,20,1,Manitoba,1201,12.28824888,13,-7
64,the pas,60,1,Manitoba,5689,58.20803321,59,-1
65,thompson,35,1,Manitoba,13678,139.9489327,140,105
66,treherne,22,1,Manitoba,616,6.302715496,7,-15
67,virden,96,2,Manitoba,3114,31.86145463,32,-64
68,vita,44,1,Manitoba,415,4.246147615,5,-39
69,wawanesa,20,1,Manitoba,562,5.750204722,6,-14
70,whitemouth,26,1,Manitoba,317,3.243442877,4,-22
71,winkler,145,1,Manitoba,12660,129.5330815,130,-15
72,winnipeg,5640,39,Manitoba,705244,7215.831635,7216,1576
