S.no,City,Number of Beds,Number of Homes,Province,Population,NoB required (raw),NoB req,Discrepancy
1,baie verte,18,1,Newfoundland,1313,40.92488124,41,23
2,bonavista,12,2,Newfoundland,3448,107.4706706,108,96
3,botwood,76,1,Newfoundland,2875,89.6108405,90,14
4,buchans,18,1,Newfoundland,696,21.69361565,22,4
5,burgeo,18,1,Newfoundland,1307,40.73786732,41,23
6,clarenville,56,2,Newfoundland,6291,196.0841035,197,141
7,corner brook,395,3,Newfoundland,19806,617.3329763,618,223
8,fogo island,3,1,Newfoundland,2244,69.94320907,70,67
9,forteau,13,1,Newfoundland,429,13.37149585,14,1
10,gander,102,1,Newfoundland,11688,364.3031317,365,263
11,grand bank,61,1,Newfoundland,2310,72.00036228,73,12
12,grand falls-windsor,79,2,Newfoundland,13725,427.7943603,428,349
13,happy valley-goose bay,57,1,Newfoundland,7552,235.3881974,236,179
14,harbour breton,18,1,Newfoundland,1634,50.93012639,51,33
15,labrador city,14,1,Newfoundland,7220,225.0400934,226,212
16,lewisporte,51,1,Newfoundland,3409,106.2550801,107,56
17,norris point,14,1,Newfoundland,685,21.35075678,22,8
18,placentia,75,1,Newfoundland,3496,108.966782,109,34
19,port saunders,22,1,Newfoundland,697,21.72478464,22,0
20,springdale,132,1,Newfoundland,2971,92.60306335,93,-39
21,st. anthony,47,1,Newfoundland,2258,70.3795749,71,24
22,st. john's,1083,6,Newfoundland,108860,3393.056034,3394,2311
23,stephenville crossing,114,1,Newfoundland,1719,53.57949037,54,-60
24,twillingate,31,1,Newfoundland,2196,68.44709765,69,38
