S.no,City,Number of Beds,Number of Homes,Province,Population,NoB required (raw),NoB req,Discrepancy
1,acton vale,25,2,Quebec,7664,1078.876608,1079,1054
2,adstock,1,1,Quebec,2806,395.006232,396,395
3,alma,34,9,Quebec,30904,4350.417888,4351,4317
4,amos,5,3,Quebec,12823,1805.119356,1806,1801
5,amqui,1,1,Quebec,6322,889.960584,890,889
6,asbestos,13,2,Quebec,7096,998.918112,999,986
7,ayer's cliff,1,1,Quebec,1109,156.116148,157,156
8,aylmer,16,2,Quebec,7492,1054.663824,1055,1039
9,baie-comeau,9,5,Quebec,21536,3031.665792,3032,3023
10,baie-d'urfe,4,1,Quebec,3850,541.9722,542,538
11,beaconsfield,11,4,Quebec,19115,2690.85678,2691,2680
12,beauceville,6,3,Quebec,6354,894.465288,895,889
13,beauharnois,14,3,Quebec,12011,1690.812492,1691,1677
14,beaumont,1,1,Quebec,17396,2448.869712,2449,2448
15,beauport,54,6,Quebec,7281,1024.960932,1025,971
16,becancour,2,1,Quebec,12438,1750.922136,1751,1749
17,bécancour,2,2,Quebec,20081,2826.842532,2827,2825
18,bedford,1,1,Quebec,2684,377.832048,378,377
19,beloeil,2,1,Quebec,50796,7150.654512,7151,7149
20,blainville,24,4,Quebec,56363,7934.332236,7935,7911
21,boisbriand,2,1,Quebec,26884,3784.514448,3785,3783
22,boischatel,10,2,Quebec,6465,910.09098,911,901
23,bois-des-filion,3,1,Quebec,9485,1335.22242,1336,1333
24,bonaventure,1,1,Quebec,2775,390.6423,391,390
25,boucherville,40,7,Quebec,40753,5736.881316,5737,5697
26,brossard,111,7,Quebec,85721,12067.11661,12068,11957
27,burnaby,1,1,Quebec,232755,32765.38686,32766,32765
28,candiac,2,1,Quebec,21047,2962.828284,2963,2961
29,chambly,2,1,Quebec,29120,4099.28064,4100,4098
30,chandler,8,2,Quebec,7703,1084.366716,1085,1077
31,chateauguay,8,4,Quebec,70812,9968.346864,9969,9961
32,châteauguay,17,3,Quebec,45904,6461.997888,6462,6445
33,chateau-richer,12,1,Quebec,4126,580.825272,581,569
34,château-richer,4,1,Quebec,3834,539.719848,540,536
35,cheneville,1,1,Quebec,792,111.491424,112,111
36,chertsey,1,1,Quebec,4836,680.773392,681,680
37,cleveland,1,1,Quebec,1609,226.502148,227,226
38,coaticook,11,2,Quebec,8698,1224.434856,1225,1214
39,compton,1,1,Quebec,3112,438.082464,439,438
40,contrecoeur,3,1,Quebec,6252,880.106544,881,878
41,cowansville,25,4,Quebec,12489,1758.101508,1759,1734
42,danville,6,1,Quebec,4070,572.94204,573,567
43,degelis,2,2,Quebec,3051,429.495372,430,428
44,deux-montagnes,1,1,Quebec,17553,2470.970916,2471,2470
45,disraeli,4,1,Quebec,2502,352.211544,353,349
46,dolbeau-mistassini,23,5,Quebec,14384,2024.864448,2025,2002
