S.no,City,Number of Beds,Number of Homes,Province,Population,NoB required (raw),NoB req,Discrepancy
1,arborfield,35,1,Saskatchewan,326,4.082177216,5,-30
2,assiniboia,60,2,Saskatchewan,2389,29.91509622,30,-30
3,balcarres,44,1,Saskatchewan,617,7.726083872,8,-36
4,battleford,28,3,Saskatchewan,4065,50.90199504,51,23
5,big river,34,1,Saskatchewan,759,9.504210144,10,-24
6,birch hills,29,1,Saskatchewan,1064,13.32342502,14,-15
7,broadview,35,1,Saskatchewan,574,7.187637184,8,-27
8,cabri,17,1,Saskatchewan,399,4.996284384,5,-12
9,canora,10,1,Saskatchewan,2219,27.7863535,28,18
10,canwood,29,1,Saskatchewan,348,4.357661568,5,-24
11,carlyle,40,1,Saskatchewan,1503,18.82059005,19,-21
12,carnduff,38,1,Saskatchewan,1126,14.09979002,15,-23
13,carrot river,35,1,Saskatchewan,1000,12.522016,13,-22
14,central butte,52,2,Saskatchewan,365,4.57053584,5,-47
15,coronach,12,1,Saskatchewan,711,8.903153376,9,-3
16,craik,15,1,Saskatchewan,453,5.672473248,6,-9
17,cudworth,29,1,Saskatchewan,770,9.64195232,10,-19
18,cupar,48,1,Saskatchewan,579,7.250247264,8,-40
19,cut knife,28,1,Saskatchewan,517,6.473882272,7,-21
20,dalmeny,36,1,Saskatchewan,1826,22.86520122,23,-13
21,dinsmore,18,1,Saskatchewan,318,3.982001088,4,-14
22,duck lake,29,1,Saskatchewan,577,7.225203232,8,-21
23,eastend,23,1,Saskatchewan,527,6.599102432,7,-16
24,edam,14,1,Saskatchewan,444,5.559775104,6,-8
25,elrose,30,1,Saskatchewan,477,5.973001632,6,-24
26,esterhazy,52,1,Saskatchewan,2472,30.95442355,31,-21
27,estevan,70,1,Saskatchewan,11258,140.9728561,141,71
28,eston,31,1,Saskatchewan,1061,13.28585898,14,-17
29,fillmore,19,1,Saskatchewan,255,3.19311408,4,-15
30,foam lake,20,1,Saskatchewan,1123,14.06222397,15,-5
31,fort qu'appelle,50,1,Saskatchewan,1919,24.0297487,25,-25
32,gainsborough,16,1,Saskatchewan,291,3.643906656,4,-12
33,grenfell,33,1,Saskatchewan,1099,13.76169558,14,-19
34,gull lake,33,1,Saskatchewan,989,12.38427382,13,-20
35,hafford,22,1,Saskatchewan,397,4.971240352,5,-17
36,herbert,36,1,Saskatchewan,759,9.504210144,10,-26
37,hudson bay,20,1,Saskatchewan,1504,18.83311206,19,-1
38,humboldt,85,1,Saskatchewan,5869,73.4917119,74,-11
39,imperial,18,1,Saskatchewan,349,4.370183584,5,-13
40,indian head,38,1,Saskatchewan,1910,23.91705056,24,-14
41,invermay,20,1,Saskatchewan,247,3.092937952,4,-16
42,ituna,35,1,Saskatchewan,711,8.903153376,9,-26
43,kamsack,20,1,Saskatchewan,1825,22.8526792,23,3
44,kelvington,45,1,Saskatchewan,890,11.14459424,12,-33
45,kerrobert,30,1,Saskatchewan,1061,13.28585898,14,-16
46,kindersley,79,1,Saskatchewan,4597,57.56370755,58,-21
47,kinistino,30,1,Saskatchewan,743,9.303857888,10,-20
48,kipling,32,1,Saskatchewan,1140,14.27509824,15,-17
49,kyle,17,1,Saskatchewan,437,5.472120992,6,-11
50,la loche,5,1,Saskatchewan,2827,35.39973923,36,31
51,la ronge,14,1,Saskatchewan,5671,71.01235274,72,58
52,lafleche,16,1,Saskatchewan,406,5.083938496,6,-10
53,lampman,19,1,Saskatchewan,713,8.928197408,9,-10
54,langham,17,1,Saskatchewan,1496,18.73293594,19,2
55,lanigan,35,1,Saskatchewan,1233,15.43964573,16,-19
56,leader,122,2,Saskatchewan,821,10.28057514,11,-111
57,leask,29,1,Saskatchewan,413,5.171592608,6,-23
58,leoville,16,1,Saskatchewan,366,4.583057856,5,-11
59,leroy,38,1,Saskatchewan,427,5.346900832,6,-32
60,lestock,10,1,Saskatchewan,125,1.565252,2,-8
61,lloydminster,60,3,Saskatchewan,31410,393.3165226,394,334
62,lumsden,30,1,Saskatchewan,1824,22.84015718,23,-7
63,macklin,22,1,Saskatchewan,1415,17.71865264,18,-4
64,maidstone,24,1,Saskatchewan,1156,14.4754505,15,-9
65,mankota,15,1,Saskatchewan,211,2.642145376,3,-12
66,maple creek,45,1,Saskatchewan,2084,26.09588134,27,-18
67,meadow lake,55,1,Saskatchewan,5344,66.9176535,67,12
68,melfort,103,1,Saskatchewan,5992,75.03191987,76,-27
69,melville,80,1,Saskatchewan,4562,57.12543699,58,-22
